ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
27581;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Stiftungshaus der Heinrich Graf Hardeggschen Doctoren Stiftung;Kärntner Straße 39;1002;Bescheid
27583;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Grundemann Esterhazy, ehem. Palais Grundemann von Falckhenberg;Kärntner Straße 41;1041;Bescheid
27593;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Kärntner Straße 45;1044;Bescheid
27596;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Kärntner Straße 47;1058;Bescheid
27597;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Kärntner Straße 49;1057/1;Bescheid
76802;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Warenhaus Haas & Czjzek;Kärntner Straße 5;932;Bescheid
40751;Wien 1 - Innere Stadt;01004 Innere Stadt;Stadtpalais Todesco;Kärntner Straße 51;1265;Bescheid
20025;Wien 1 - Innere Stadt;01004 Innere Stadt;Verwaltungs-/Bürogebäude, Wohn- und Geschäftshaus;Kärntner Straße 57;1250/1;Bescheid
40754;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus, Zum Kleinen Ofenloch;Kleeblattgasse 5;396;Bescheid
29120;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus, Zum großen Ofenloch;Kleeblattgasse 7;395;Bescheid
7390;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus, Zum Husaren;Kohlmarkt 1;1149;Bescheid
23113;Wien 1 - Innere Stadt;01004 Innere Stadt;Großes Michaelerhaus;Kohlmarkt 11;1157;§ 2a
23109;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus, Ehem. Warenhaus Löffler;Kohlmarkt 12;283;Bescheid
24508;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus und Konditorei Demel;Kohlmarkt 14;282;Bescheid
28664;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus und Buchhandlung MANZ;Kohlmarkt 16;279;Bescheid
