ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
61021;Salzburg (Statutarstadt);56537 Salzburg;Erzbischöfl. Kollegium (Privatgymnasium) Borromäum;Gaisbergstraße 7-9;1871/2;§ 2a
35569;Salzburg (Statutarstadt);56537 Salzburg;Ansitz, Mölk- oder Reinhof;Gärtnerstraße 2;3000/2;Bescheid
35571;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Schidenhofenhaus;Getreidegasse 1;342;Bescheid
35580;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Gollhoferhaus, Sailerwirt;Getreidegasse 10;493;Bescheid
41530;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Schrankenbäckerhaus;Getreidegasse 11;347;Bescheid
35581;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Kammerlohrhaus;Getreidegasse 12;492/1;Bescheid
35582;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Feiertagshaus;Getreidegasse 13;349;Bescheid
35583;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Kronhaus;Getreidegasse 14;484/2;Bescheid
35584;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Azwangerhaus;Getreidegasse 15;350;Bescheid
41399;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Gschwendtnerhaus/Haus an der Alben;Getreidegasse 16;482;Bescheid
35585;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Rabelbäckerhaus;Getreidegasse 17;351;Bescheid
35586;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus;Getreidegasse 19;353;Bescheid
35572;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Ranftlhaus;Getreidegasse 2;507;Bescheid
42260;Salzburg (Statutarstadt);56537 Salzburg;Gasthaus, Zum Wilden Mann, Sattlerstöckl;Getreidegasse 20;479;Bescheid
